Order_ID,Order_Date,Customer_ID,Product_ID,Region_ID,Quantity,Discount_%,Shipping_Cost,Selling_Price,Standard_Cost,Sales_Amount,Cost_Amount
ORD100139,2025-02-08,CUST1618,PROD395,REG8,2,0.29,498,2451,732,3480.4199999999996,1464
ORD100140,2024-11-03,CUST6537,PROD145,REG18,3,0.29,420,1419,2479,3022.47,7437
ORD100141,2023-06-25,CUST2486,PROD205,REG3,3,0.26,277,4629,712,10276.38,2136
ORD100142,2025-03-15,CUST1596,PROD327,REG14,2,0.14,57,717,1382,1233.24,2764
ORD100143,2024-09-30,CUST6241,PROD215,REG18,4,0.11,358,3988,1333,14197.28,5332
ORD100144,2023-10-24,CUST4328,PROD664,REG5,3,0.2,233,1619,1739,3885.6000000000004,5217
ORD100145,2024-04-19,CUST2189,PROD640,REG18,4,0.0,147,3840,2993,15360.0,11972
ORD100146,2024-06-19,CUST4937,PROD350,REG5,5,0.27,459,4584,2997,16731.6,14985
ORD100147,2025-11-26,CUST1924,PROD532,REG16,1,0.06,292,2314,1642,2175.16,1642
ORD100148,2023-01-25,CUST2729,PROD152,REG12,4,0.29,331,3930,233,11161.199999999999,932
ORD100149,2023-12-15,CUST6011,PROD748,REG13,3,0.04,346,658,1323,1895.04,3969
ORD100150,2024-09-28,CUST6688,PROD892,REG10,4,0.23,424,1377,2513,4241.16,10052
ORD100151,2023-08-15,CUST2259,PROD146,REG6,4,0.16,315,1261,1905,4236.96,7620
ORD100152,2023-02-07,CUST1882,PROD180,REG12,5,0.2,128,2796,429,11184.0,2145
ORD100153,2024-07-23,CUST1844,PROD533,REG3,5,0.14,282,2180,1491,9374.0,7455
ORD100154,2023-08-24,CUST6334,PROD426,REG18,3,0.0,436,2324,2083,6972.0,6249
ORD100155,2023-04-24,CUST3106,PROD371,REG3,3,0.19,125,2193,1199,5328.990000000001,3597
ORD100156,2023-11-02,CUST3799,PROD392,REG12,1,0.23,357,3441,2896,2649.57,2896
ORD100157,2023-05-12,CUST2418,PROD477,REG7,4,0.17,328,3472,850,11527.039999999999,3400
ORD100158,2023-12-14,CUST3390,PROD885,REG20,2,0.05,238,3731,2673,7088.9,5346
ORD100159,2024-02-19,CUST3595,PROD522,REG5,3,0.05,99,1007,2554,2869.95,7662
ORD100160,2025-09-09,CUST5379,PROD795,REG19,3,0.0,172,2618,2490,7854.0,7470
ORD100161,2025-01-01,CUST1080,PROD693,REG3,5,0.09,323,2469,1938,11233.95,9690
ORD100162,2024-10-15,CUST3631,PROD747,REG14,4,0.01,124,1867,1654,7393.32,6616
ORD100163,2024-01-20,CUST6468,PROD724,REG13,1,0.01,467,2514,2399,2488.86,2399
ORD100164,2024-05-26,CUST1435,PROD668,REG19,2,0.07,261,881,949,1638.6599999999999,1898
ORD100165,2025-12-02,CUST1770,PROD631,REG11,3,0.29,430,359,2257,764.67,6771
ORD100166,2023-03-02,CUST2292,PROD209,REG20,5,0.26,126,3628,2598,13423.6,12990
ORD100167,2024-07-06,CUST2888,PROD736,REG20,1,0.17,193,4066,897,3374.7799999999997,897
ORD100168,2023-07-07,CUST3326,PROD571,REG7,1,0.3,191,4242,1253,2969.3999999999996,1253
ORD100169,2024-03-28,CUST1726,PROD496,REG15,4,0.17,269,3217,288,10680.439999999999,1152
ORD100170,2025-04-26,CUST2689,PROD686,REG19,2,0.05,317,2541,981,4827.9,1962
ORD100171,2023-07-06,CUST4844,PROD663,REG17,1,0.2,379,3521,448,2816.8,448
ORD100172,2025-07-26,CUST2927,PROD457,REG20,5,0.01,468,2037,1131,10083.15,5655
ORD100173,2023-06-13,CUST3940,PROD708,REG3,4,0.11,217,340,469,1210.4,1876
ORD100174,2023-04-12,CUST5566,PROD611,REG18,5,0.25,482,4814,2046,18052.5,10230
ORD100175,2024-11-21,CUST5534,PROD641,REG15,5,0.11,350,1093,496,4863.85,2480
ORD100176,2024-07-31,CUST2563,PROD349,REG12,5,0.25,364,3688,2834,13830.0,14170
ORD100177,2024-09-02,CUST3017,PROD593,REG19,2,0.25,107,3521,2577,5281.5,5154
ORD100178,2024-06-19,CUST4847,PROD488,REG16,1,0.02,392,1372,1088,1344.56,1088
ORD100179,2025-01-30,CUST2770,PROD202,REG3,5,0.27,68,2313,712,8442.449999999999,3560
ORD100180,2025-06-14,CUST3939,PROD377,REG13,3,0.15,402,2665,1864,6795.75,5592
ORD100181,2025-08-28,CUST2298,PROD150,REG19,3,0.28,117,2770,2499,5983.2,7497
ORD100182,2023-05-04,CUST3188,PROD481,REG9,3,0.15,365,1352,1471,3447.6,4413
ORD100183,2024-10-29,CUST4993,PROD818,REG15,5,0.12,423,4683,1939,20605.2,9695
ORD100184,2023-12-15,CUST4378,PROD685,REG19,5,0.14,62,4431,1513,19053.3,7565
ORD100185,2023-09-06,CUST3316,PROD228,REG16,4,0.22,75,4760,2193,14851.2,8772
ORD100186,2024-12-07,CUST4568,PROD657,REG10,3,0.01,430,3628,493,10775.16,1479
ORD100187,2024-12-13,CUST3099,PROD178,REG15,2,0.19,131,1275,572,2065.5,1144
ORD100188,2025-10-03,CUST3552,PROD397,REG7,2,0.28,201,4536,992,6531.84,1984
ORD100189,2023-09-04,CUST5342,PROD653,REG12,3,0.19,393,2663,2748,6471.09,8244
ORD100190,2024-04-25,CUST3902,PROD419,REG16,1,0.1,113,3751,522,3375.9,522
ORD100191,2023-04-08,CUST3083,PROD504,REG16,2,0.01,368,1935,701,3831.3,1402
ORD100192,2023-11-25,CUST4961,PROD178,REG6,2,0.0,318,1275,572,2550.0,1144
ORD100193,2025-10-25,CUST5202,PROD582,REG14,1,0.12,423,4836,2022,4255.68,2022
ORD100194,2024-04-03,CUST4984,PROD630,REG20,1,0.0,316,3576,1062,3576.0,1062
ORD100195,2025-03-06,CUST6056,PROD753,REG20,2,0.05,435,2526,464,4799.4,928
ORD100196,2024-08-15,CUST3034,PROD626,REG9,1,0.29,202,4698,1568,3335.58,1568
ORD100197,2024-05-12,CUST4212,PROD278,REG17,1,0.02,205,3039,2176,2978.22,2176
ORD100198,2023-03-28,CUST1091,PROD822,REG16,4,0.22,240,4711,1245,14698.32,4980
ORD100199,2024-02-06,CUST2206,PROD830,REG1,1,0.27,128,2860,745,2087.7999999999997,745
ORD100200,2023-07-16,CUST5301,PROD627,REG6,2,0.01,170,1459,489,2888.82,978
ORD100201,2025-02-02,CUST3927,PROD822,REG10,4,0.29,331,4711,1245,13379.24,4980
ORD100202,2023-01-27,CUST4684,PROD408,REG19,2,0.16,443,4591,1014,7712.88,2028
ORD100203,2023-05-15,CUST3088,PROD866,REG9,5,0.06,274,3618,2650,17004.6,13250
ORD100204,2023-07-25,CUST6546,PROD122,REG18,1,0.09,462,3744,2902,3407.04,2902
ORD100205,2025-11-16,CUST1702,PROD775,REG20,1,0.29,407,1970,2502,1398.6999999999998,2502
ORD100206,2024-08-25,CUST4409,PROD757,REG16,2,0.1,94,2186,1140,3934.8,2280
ORD100207,2025-12-27,CUST3568,PROD554,REG5,5,0.22,167,4179,2155,16298.1,10775
ORD100208,2023-12-28,CUST3789,PROD188,REG17,2,0.08,297,4612,1365,8486.08,2730
ORD100209,2024-10-19,CUST5755,PROD339,REG16,4,0.16,61,2546,1298,8554.56,5192
ORD100210,2025-12-22,CUST1613,PROD335,REG11,2,0.1,369,2263,2690,4073.4,5380
ORD100211,2025-08-29,CUST4608,PROD272,REG19,3,0.21,151,4634,1338,10982.58,4014
ORD100212,2025-09-06,CUST2770,PROD106,REG8,2,0.08,80,876,767,1611.8400000000001,1534
ORD100213,2025-07-29,CUST5033,PROD808,REG4,4,0.07,129,3367,2876,12525.24,11504
ORD100214,2025-06-26,CUST3333,PROD460,REG3,2,0.11,295,4154,2868,7394.12,5736
ORD100215,2023-09-03,CUST6503,PROD827,REG14,1,0.16,410,537,1398,451.08,1398
ORD100216,2023-10-05,CUST1583,PROD183,REG4,1,0.13,453,1365,1497,1187.55,1497
ORD100217,2023-12-13,CUST4608,PROD312,REG20,4,0.16,219,2292,2302,7701.12,9208
ORD100218,2024-01-07,CUST1093,PROD813,REG5,2,0.09,396,3015,661,5487.3,1322
ORD100219,2025-03-19,CUST1669,PROD476,REG15,1,0.07,297,3436,2054,3195.4799999999996,2054
ORD100220,2025-04-28,CUST2484,PROD570,REG18,5,0.15,234,4270,1641,18147.5,8205
ORD100221,2023-05-03,CUST5126,PROD856,REG19,2,0.09,130,4135,1043,7525.7,2086
ORD100222,2025-12-16,CUST1607,PROD401,REG9,1,0.3,366,3629,2231,2540.2999999999997,2231
ORD100223,2023-06-09,CUST2315,PROD644,REG4,4,0.13,252,4594,1237,15987.12,4948
ORD100224,2025-01-06,CUST5668,PROD882,REG1,5,0.16,374,1575,2673,6615.0,13365
ORD100225,2024-06-01,CUST1924,PROD133,REG5,4,0.15,233,963,823,3274.2,3292
ORD100226,2025-07-23,CUST3031,PROD690,REG8,4,0.24,329,4771,1579,14503.84,6316
ORD100227,2025-01-15,CUST3820,PROD876,REG7,3,0.03,411,4268,2771,12419.88,8313
ORD100228,2023-10-15,CUST3707,PROD446,REG19,3,0.12,169,2559,1698,6755.76,5094
ORD100229,2024-02-24,CUST2258,PROD419,REG12,1,0.11,194,3751,522,3338.39,522
ORD100230,2023-05-20,CUST5380,PROD733,REG12,2,0.12,155,3119,2839,5489.44,5678
ORD100231,2024-12-07,CUST5610,PROD543,REG19,1,0.01,208,2394,1043,2370.06,1043
ORD100232,2024-11-28,CUST5435,PROD895,REG8,4,0.15,255,1655,228,5627.0,912
ORD100233,2025-09-13,CUST5632,PROD364,REG2,5,0.22,340,4377,2359,17070.3,11795
ORD100234,2024-04-19,CUST1232,PROD348,REG10,3,0.27,327,2685,1619,5880.15,4857
ORD100235,2024-01-24,CUST5420,PROD775,REG4,3,0.18,114,1970,2502,4846.200000000001,7506
ORD100236,2024-05-25,CUST6174,PROD364,REG10,3,0.27,251,4377,2359,9585.63,7077
ORD100237,2024-06-21,CUST6559,PROD862,REG4,2,0.21,381,3449,2648,5449.42,5296
ORD100238,2023-08-01,CUST6361,PROD642,REG19,1,0.25,488,1223,1646,917.25,1646
ORD100239,2025-06-15,CUST5732,PROD846,REG18,4,0.08,83,1856,2100,6830.08,8400
ORD100240,2025-11-27,CUST2320,PROD400,REG17,5,0.2,226,622,1085,2488.0,5425
ORD100241,2023-08-21,CUST1129,PROD538,REG8,2,0.09,474,4079,1529,7423.780000000001,3058
ORD100242,2023-09-17,CUST6637,PROD561,REG20,2,0.16,210,1862,2877,3128.16,5754
ORD100243,2023-11-04,CUST1227,PROD882,REG9,2,0.02,410,1575,2673,3087.0,5346
ORD100244,2024-02-07,CUST5282,PROD856,REG17,3,0.22,328,4135,1043,9675.9,3129
ORD100245,2025-09-23,CUST6312,PROD597,REG5,2,0.09,117,4160,1053,7571.2,2106
ORD100246,2025-01-19,CUST4930,PROD524,REG2,1,0.04,411,4335,1063,4161.599999999999,1063
ORD100247,2023-10-31,CUST2388,PROD677,REG2,3,0.21,404,4735,1567,11221.95,4701
ORD100248,2023-12-09,CUST4172,PROD674,REG9,5,0.09,62,1455,585,6620.25,2925
ORD100249,2025-11-27,CUST3619,PROD730,REG14,3,0.06,336,2265,2232,6387.299999999999,6696
ORD100250,2025-05-04,CUST2581,PROD721,REG8,1,0.3,387,4877,2751,3413.8999999999996,2751
ORD100251,2025-12-05,CUST5370,PROD718,REG1,3,0.22,472,4164,2380,9743.76,7140
ORD100252,2023-09-13,CUST6376,PROD476,REG15,2,0.15,422,3436,2054,5841.2,4108
ORD100253,2023-05-17,CUST1734,PROD727,REG18,4,0.2,98,2247,504,7190.400000000001,2016
ORD100254,2025-03-28,CUST5113,PROD638,REG7,5,0.29,185,4387,1107,15573.849999999999,5535
ORD100255,2025-08-30,CUST4952,PROD291,REG9,3,0.11,145,427,2418,1140.09,7254
ORD100256,2023-02-07,CUST5511,PROD604,REG20,3,0.05,409,1785,1539,5087.25,4617
ORD100257,2023-04-15,CUST3274,PROD287,REG2,4,0.27,441,3035,2260,8862.199999999999,9040
ORD100258,2023-09-12,CUST2247,PROD411,REG6,1,0.24,315,2206,1019,1676.56,1019
ORD100259,2024-05-02,CUST3362,PROD426,REG4,4,0.15,189,2324,2083,7901.599999999999,8332
ORD100260,2024-04-02,CUST3112,PROD287,REG12,3,0.07,295,3035,2260,8467.65,6780
ORD100261,2024-06-11,CUST1992,PROD320,REG15,1,0.2,341,372,621,297.6,621
ORD100262,2024-08-13,CUST1779,PROD887,REG10,3,0.28,493,2517,301,5436.719999999999,903
ORD100263,2024-06-08,CUST3220,PROD565,REG6,3,0.02,79,2648,1084,7785.12,3252
ORD100264,2024-01-05,CUST6783,PROD683,REG4,2,0.29,442,2058,1700,2922.3599999999997,3400
ORD100265,2023-04-12,CUST5533,PROD789,REG12,2,0.09,467,3611,766,6572.02,1532
ORD100266,2025-07-04,CUST4843,PROD298,REG5,1,0.14,208,2246,2776,1931.56,2776
ORD100267,2024-10-25,CUST4150,PROD187,REG8,5,0.22,496,3646,2123,14219.4,10615
ORD100268,2024-11-20,CUST4351,PROD543,REG6,2,0.02,233,2394,1043,4692.24,2086
ORD100269,2024-08-21,CUST3070,PROD441,REG6,2,0.17,54,4783,1883,7939.78,3766
ORD100270,2024-08-22,CUST5440,PROD247,REG3,4,0.27,102,4084,976,11925.279999999999,3904
ORD100271,2024-06-24,CUST5825,PROD489,REG11,3,0.07,134,2492,877,6952.679999999999,2631
ORD100272,2024-01-24,CUST2733,PROD227,REG5,5,0.08,76,2181,2982,10032.6,14910
ORD100273,2023-12-29,CUST3681,PROD235,REG7,5,0.29,188,4404,626,15634.199999999999,3130
ORD100274,2025-07-19,CUST3156,PROD355,REG8,5,0.09,270,3565,949,16220.75,4745
